"CEA2034"																	
"On Axis"		"Listening Window"		"Early Reflections"		"Sound Power"		"Sound Power DI"		"Early Reflections DI"		"DI offset"		"Processing - NFS - CEA2034 Spinorama - Listening Window = MBL REFERENCE"		"Processing - 3.1 NFS - CEA2034 Spinorama - Sound Power"	
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
20.5078	57.5223	20.5078	57.5992	20.5078	58.1823	20.5078	58.9254	20.5078	68.6531	20.5078	69.3962	20.5078	69.9794	20.5078	63.5658	11.7188	49.258
21.9727	54.5593	21.9727	54.6622	21.9727	55.5032	21.9727	56.6763	21.9727	67.9652	21.9727	69.1384	21.9727	69.9794	21.9727	66.0901	12.4512	41.1404
23.4375	58.5979	23.4375	58.6256	23.4375	58.9031	23.4375	59.3936	23.4375	69.2113	23.4375	69.7019	23.4375	69.9794	23.4375	68.2715	13.916	38.5316
25.6348	64.8965	25.6348	64.9171	25.6348	65.0526	25.6348	65.2064	25.6348	69.6901	25.6348	69.8439	25.6348	69.9794	25.6348	72.6332	14.6484	41.0788
27.0996	60.7536	27.0996	60.7599	27.0996	60.76	27.0996	60.667	27.0996	70.0723	27.0996	69.9793	27.0996	69.9794	27.0996	73.0826	15.3809	41.1868
29.2969	51.7432	29.2969	51.6878	29.2969	51.1493	29.2969	50.1191	29.2969	71.5481	29.2969	70.5179	29.2969	69.9794	29.2969	70.1344	16.8457	41.9895
31.4941	57.5751	31.4941	57.59	31.4941	57.7064	31.4941	57.9081	31.4941	69.6613	31.4941	69.863	31.4941	69.9794	31.4941	68.7711	18.3105	38.7376
33.6914	49.126	33.6914	49.0618	33.6914	48.4302	33.6914	47.1325	33.6914	71.9087	33.6914	70.611	33.6914	69.9794	33.6914	70.2092	19.043	39.9622
35.8887	41.852	35.8887	42.5049	35.8887	47.2997	35.8887	51.2008	35.8887	61.2835	35.8887	65.1846	35.8887	69.9794	35.8887	71.8639	20.5078	38.0516
38.8184	51.7293	38.8184	51.8581	38.8184	53.3037	38.8184	55.3885	38.8184	66.4491	38.8184	68.5338	38.8184	69.9794	38.8184	72.6825	21.9727	38.3175
41.0156	32.0361	41.0156	31.8784	41.0156	40.4953	41.0156	46.1356	41.0156	55.7222	41.0156	61.3625	41.0156	69.9794	41.0156	73.0446	23.4375	38.5393
43.9453	49.6301	43.9453	49.3284	43.9453	47.409	43.9453	45.3852	43.9453	73.9226	43.9453	71.8988	43.9453	69.9794	43.9453	74.8362	25.6348	38.9819
47.6074	64.1669	47.6074	64.1839	47.6074	64.3256	47.6074	64.5682	47.6074	69.5951	47.6074	69.8377	47.6074	69.9794	47.6074	76.6066	27.0996	41.6249
50.5371	73.4331	50.5371	73.4383	50.5371	73.4755	50.5371	73.5535	50.5371	69.8642	50.5371	69.9423	50.5371	69.9794	50.5371	77.4064	29.2969	38.5256
54.1992	80.4627	54.1992	80.4879	54.1992	80.6966	54.1992	81.0266	54.1992	69.4407	54.1992	69.7706	54.1992	69.9794	54.1992	79.2827	31.4941	39.9206
58.5938	89.6474	58.5938	89.6671	58.5938	89.8206	58.5938	90.0581	58.5938	69.5884	58.5938	69.8258	58.5938	69.9794	58.5938	79.7192	33.6914	38.4887
62.2559	95.6058	62.2559	95.6226	62.2559	95.7489	62.2559	95.9411	62.2559	69.6609	62.2559	69.8531	62.2559	69.9794	62.2559	80.9745	35.8887	42.9221
66.6504	100.229	66.6504	100.245	66.6504	100.358	66.6504	100.531	66.6504	69.6934	66.6504	69.8658	66.6504	69.9794	66.6504	82.5312	38.8184	49.3077
71.7773	102.335	71.7773	102.35	71.7773	102.465	71.7773	102.639	71.7773	69.6905	71.7773	69.8643	71.7773	69.9794	71.7773	84.6025	41.0156	53.7202
76.9043	102.804	76.9043	102.82	76.9043	102.938	76.9043	103.115	76.9043	69.684	76.9043	69.8616	76.9043	69.9794	76.9043	87.1443	43.9453	58.9409
82.7637	102.691	82.7637	102.704	82.7637	102.802	82.7637	102.949	82.7637	69.735	82.7637	69.8815	82.7637	69.9794	82.7637	85.681	47.6074	63.8532
88.623	102.677	88.623	102.685	88.623	102.75	88.623	102.852	88.623	69.8133	88.623	69.9151	88.623	69.9794	88.623	80.78	50.5371	66.413
94.4824	102.72	94.4824	102.728	94.4824	102.785	94.4824	102.885	94.4824	69.8221	94.4824	69.922	94.4824	69.9794	94.4824	83.7326	54.1992	68.466
101.807	103.038	101.807	103.045	101.807	103.099	101.807	103.195	101.807	69.8292	101.807	69.9257	101.807	69.9794	101.807	84.3085	58.5938	69.7096
109.131	103.438	109.131	103.446	109.131	103.512	109.131	103.628	109.131	69.7968	109.131	69.9131	109.131	69.9794	109.131	87.0433	62.2559	70.5277
