"SPL Vertical"													
"On-Axis"		"10°"		"20°"		"30°"		"40°"		"50°"		"60°"	
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
11.7188	58.0472	11.7188	57.8755	11.7188	57.7195	11.7188	57.5827	11.7188	57.4676	11.7188	57.3761	11.7188	57.3097
12.4512	54.9733	12.4512	54.7776	12.4512	54.6019	12.4512	54.4505	12.4512	54.3268	12.4512	54.2329	12.4512	54.1706
13.916	53.6591	13.916	53.5205	13.916	53.3856	13.916	53.2574	13.916	53.1383	13.916	53.0302	13.916	52.9345
14.6484	49.7507	14.6484	49.5743	14.6484	49.409	14.6484	49.2584	14.6484	49.1255	14.6484	49.0122	14.6484	48.9204
15.3809	44.6649	15.3809	44.6042	15.3809	44.5621	15.3809	44.5382	15.3809	44.5313	15.3809	44.5397	15.3809	44.5615
16.8457	48.0283	16.8457	47.8937	16.8457	47.77	16.8457	47.6594	16.8457	47.5633	16.8457	47.4824	16.8457	47.4172
18.3105	49.2203	18.3105	49.1436	18.3105	49.0783	18.3105	49.0253	18.3105	48.9845	18.3105	48.9558	18.3105	48.9387
19.043	49.6768	19.043	49.5816	19.043	49.4955	19.043	49.42	19.043	49.3558	19.043	49.3035	19.043	49.2632
20.5078	46.8748	20.5078	46.816	20.5078	46.7638	20.5078	46.7185	20.5078	46.6799	20.5078	46.6474	20.5078	46.6203
21.9727	48.7561	21.9727	48.7178	21.9727	48.6938	21.9727	48.6832	21.9727	48.6848	21.9727	48.6969	21.9727	48.7179
23.4375	44.3876	23.4375	44.3753	23.4375	44.3688	23.4375	44.3666	23.4375	44.3666	23.4375	44.3669	23.4375	44.3654
25.6348	48.7668	25.6348	48.7992	25.6348	48.8332	25.6348	48.8666	25.6348	48.8971	25.6348	48.9227	25.6348	48.9419
27.0996	47.2172	27.0996	47.2334	27.0996	47.2512	27.0996	47.2696	27.0996	47.2873	27.0996	47.3027	27.0996	47.3143
29.2969	47.378	29.2969	47.4491	29.2969	47.5179	29.2969	47.5814	29.2969	47.6367	29.2969	47.681	29.2969	47.7122
31.4941	43.6426	31.4941	44.0652	31.4941	44.4581	31.4941	44.8127	31.4941	45.1226	31.4941	45.3832	31.4941	45.5913
33.6914	45.4713	33.6914	45.8844	33.6914	46.2723	33.6914	46.6249	33.6914	46.9351	33.6914	47.1977	33.6914	47.4093
35.8887	43.3018	35.8887	43.8916	35.8887	44.4436	35.8887	44.9416	35.8887	45.3748	35.8887	45.7362	35.8887	46.0216
38.8184	49.1407	38.8184	49.2576	38.8184	49.4033	38.8184	49.5654	38.8184	49.7305	38.8184	49.8858	38.8184	50.0206
41.0156	53.162	41.0156	53.1458	41.0156	53.151	41.0156	53.1738	41.0156	53.2084	41.0156	53.248	41.0156	53.286
43.9453	58.3644	43.9453	58.3078	43.9453	58.264	43.9453	58.2326	43.9453	58.212	43.9453	58.2	43.9453	58.194
47.6074	63.4128	47.6074	63.3537	47.6074	63.301	47.6074	63.2556	47.6074	63.2179	47.6074	63.1874	47.6074	63.1638
50.5371	66.1942	50.5371	66.1444	50.5371	66.0967	50.5371	66.0522	50.5371	66.0116	50.5371	65.9754	50.5371	65.9437
54.1992	68.4063	54.1992	68.3734	54.1992	68.3425	54.1992	68.3144	54.1992	68.2896	54.1992	68.2684	54.1992	68.2509
58.5938	69.9673	58.5938	69.9435	58.5938	69.9199	58.5938	69.8972	58.5938	69.8761	58.5938	69.857	58.5938	69.8403
62.2559	70.7805	62.2559	70.7622	62.2559	70.7433	62.2559	70.7244	62.2559	70.7061	62.2559	70.6889	62.2559	70.6733
66.6504	71.5262	66.6504	71.5124	66.6504	71.4977	66.6504	71.4824	66.6504	71.4672	66.6504	71.4525	66.6504	71.4388
71.7773	72.2754	71.7773	72.2685	71.7773	72.2602	71.7773	72.2508	71.7773	72.2407	71.7773	72.2303	71.7773	72.2199
76.9043	73.0303	76.9043	73.0302	76.9043	73.0286	76.9043	73.0256	76.9043	73.0215	76.9043	73.0164	76.9043	73.0108
82.7637	73.9589	82.7637	73.9586	82.7637	73.9567	82.7637	73.9531	82.7637	73.9481	82.7637	73.942	82.7637	73.935
88.623	74.7721	88.623	74.7746	88.623	74.7758	88.623	74.7758	88.623	74.7745	88.623	74.772	88.623	74.7684
94.4824	75.4783	94.4824	75.4883	94.4824	75.4972	94.4824	75.5045	94.4824	75.5101	94.4824	75.5137	94.4824	75.5153
101.807	76.301	101.807	76.314	101.807	76.3255	101.807	76.335	101.807	76.3422	101.807	76.3469	101.807	76.3487
109.131	76.9903	109.131	77.0072	109.131	77.022	109.131	77.0342	109.131	77.0435	109.131	77.0495	109.131	77.0521
116.455	77.5473	116.455	77.5531	116.455	77.5551	116.455	77.5534	116.455	77.5479	116.455	77.5388	116.455	77.5262
125.244	77.8526	125.244	77.8703	125.244	77.8888	125.244	77.9073	125.244	77.9252	125.244	77.9417	125.244	77.9562
134.033	78.2578	134.033	78.2742	134.033	78.289	134.033	78.3016	134.033	78.3115	134.033	78.318	134.033	78.3208
143.555	78.4159	143.555	78.4336	143.555	78.4516	143.555	78.4692	143.555	78.4856	143.555	78.4998	143.555	78.511
153.809	78.5149	153.809	78.5377	153.809	78.5605	153.809	78.5823	153.809	78.6021	153.809	78.6188	153.809	78.6314
164.795	78.4978	164.795	78.5214	164.795	78.5464	164.795	78.5715	164.795	78.5953	164.795	78.6162	164.795	78.633
176.514	78.3943	176.514	78.4209	176.514	78.4518	176.514	78.4854	176.514	78.5197	176.514	78.5526	176.514	78.5822
189.697	78.2373	189.697	78.269	189.697	78.3056	189.697	78.3449	189.697	78.3841	189.697	78.4207	189.697	78.4525
202.881	78.1368	202.881	78.1709	202.881	78.2096	202.881	78.2502	202.881	78.2898	202.881	78.3255	202.881	78.3547
217.529	77.8793	217.529	77.9228	217.529	77.9721	217.529	78.0238	217.529	78.0743	217.529	78.1201	217.529	78.1584
232.91	77.7455	232.91	77.788	232.91	77.8369	232.91	77.8883	232.91	77.9383	232.91	77.9832	232.91	78.0198
249.756	77.4766	249.756	77.5301	249.756	77.5897	249.756	77.6509	249.756	77.7091	249.756	77.7601	249.756	77.8004
268.066	77.2675	268.066	77.3265	268.066	77.3917	268.066	77.4589	268.066	77.5234	268.066	77.5811	268.066	77.6282
287.109	76.9559	287.109	77.0273	287.109	77.1103	287.109	77.1985	287.109	77.2857	287.109	77.3659	287.109	77.4342
307.617	76.8679	307.617	76.9445	307.617	77.0305	307.617	77.1189	307.617	77.2031	307.617	77.2771	307.617	77.3362
329.59	76.6548	329.59	76.7316	329.59	76.8204	329.59	76.9135	329.59	77.0035	329.59	77.0841	329.59	77.15
353.76	76.2106	353.76	76.2729	353.76	76.3563	353.76	76.451	353.76	76.5474	353.76	76.6374	353.76	76.7145
378.662	76.0348	378.662	76.1028	378.662	76.1906	378.662	76.2872	378.662	76.3824	378.662	76.468	378.662	76.5376
405.762	75.6507	405.762	75.7355	405.762	75.8452	405.762	75.9662	405.762	76.0868	405.762	76.1979	405.762	76.2924
435.059	75.1486	435.059	75.2813	435.059	75.4503	435.059	75.6373	435.059	75.8255	435.059	76.0015	435.059	76.1551
466.553	75.0065	466.553	75.2383	466.553	75.4907	466.553	75.74	466.553	75.9689	466.553	76.1666	466.553	76.3269
500.244	75.0499	500.244	75.2962	500.244	75.5586	500.244	75.8155	500.244	76.0516	500.244	76.2574	500.244	76.4279
536.133	74.7489	536.133	75.0104	536.133	75.2853	536.133	75.5492	536.133	75.7877	536.133	75.994	536.133	76.1671
574.219	74.61	574.219	74.9333	574.219	75.2481	574.219	75.5312	574.219	75.7713	574.219	75.9656	574.219	76.1163
615.234	74.5409	615.234	74.8602	615.234	75.1681	615.234	75.4457	615.234	75.6846	615.234	75.8842	615.234	76.0477
659.912	74.4992	659.912	74.8123	659.912	75.1074	659.912	75.3675	659.912	75.5873	659.912	75.7688	659.912	75.9176
706.787	73.9207	706.787	74.3221	706.787	74.7073	706.787	75.0485	706.787	75.3356	706.787	75.5691	706.787	75.7553
758.057	74.0497	758.057	74.4092	758.057	74.7296	758.057	75.0046	758.057	75.2373	758.057	75.4349	758.057	75.604
812.256	74.0204	812.256	74.4435	812.256	74.7844	812.256	75.0315	812.256	75.1963	812.256	75.3014	812.256	75.3695
870.85	73.8711	870.85	74.2687	870.85	74.5902	870.85	74.8384	870.85	75.0322	870.85	75.1908	870.85	75.3221
933.105	73.518	933.105	73.858	933.105	74.2095	933.105	74.5885	933.105	74.9868	933.105	75.3753	933.105	75.7131
999.756	73.4344	999.756	74.0784	999.756	74.658	999.756	75.109	999.756	75.4204	999.756	75.6133	999.756	75.719
1,071.53	74.006	1,071.53	74.6255	1,071.53	75.0086	1,071.53	75.261	1,071.53	75.5058	1,071.53	75.8208	1,071.53	76.1894
1,148.44	74.3516	1,148.44	74.8654	1,148.44	75.2707	1,148.44	75.6302	1,148.44	75.9967	1,148.44	76.367	1,148.44	76.69
1,231.2	74.2225	1,231.2	74.7808	1,231.2	75.2349	1,231.2	75.6968	1,231.2	76.23	1,231.2	76.7935	1,231.2	77.2812
1,319.82	73.6028	1,319.82	74.3326	1,319.82	75.0745	1,319.82	75.8846	1,319.82	76.6605	1,319.82	77.2756	1,319.82	77.678
1,414.31	76.3467	1,414.31	76.3346	1,414.31	76.2706	1,414.31	76.206	1,414.31	76.2713	1,414.31	76.5698	1,414.31	77.0568
1,515.38	75.4029	1,515.38	76.1138	1,515.38	76.9638	1,515.38	77.7478	1,515.38	78.2863	1,515.38	78.5719	1,515.38	78.7258
1,624.51	75.2802	1,624.51	75.6717	1,624.51	75.9272	1,624.51	76.4731	1,624.51	77.436	1,624.51	78.4764	1,624.51	79.3547
1,740.97	74.2176	1,740.97	74.7206	1,740.97	75.6207	1,740.97	76.5189	1,740.97	77.3685	1,740.97	78.3741	1,740.97	79.3236
1,866.21	74.5829	1,866.21	75.1531	1,866.21	75.8786	1,866.21	76.9809	1,866.21	78.3562	1,866.21	79.4222	1,866.21	79.8942
2,000.24	74.2206	2,000.24	74.9804	2,000.24	76.2451	2,000.24	78.0595	2,000.24	79.4074	2,000.24	79.9166	2,000.24	79.9897
2,143.8	74.9719	2,143.8	75.6166	2,143.8	77.5268	2,143.8	79.0563	2,143.8	79.5599	2,143.8	79.7345	2,143.8	80.1706
2,297.61	73.9404	2,297.61	76.3157	2,297.61	78.264	2,297.61	78.8941	2,297.61	79.4562	2,297.61	80.4676	2,297.61	81.2111
2,462.4	75.2046	2,462.4	77.0386	2,462.4	77.9928	2,462.4	78.8861	2,462.4	79.6525	2,462.4	80.1714	2,462.4	81.0546
2,638.92	75.6541	2,638.92	77.0428	2,638.92	78.0156	2,638.92	78.6685	2,638.92	79.6943	2,638.92	81.1452	2,638.92	82.2218
2,828.61	75.3909	2,828.61	77.0001	2,828.61	78.2351	2,828.61	78.929	2,828.61	79.9405	2,828.61	81.4611	2,828.61	82.7217
