"Electrical inductance L (X,I=0)"	
"L (|X| < Xprot)"	
"X [mm]"	"Le [mH]"
-2.33771	0.0759888
-2.32602	0.0760009
-2.31433	0.0760128
-2.30265	0.0760243
-2.29096	0.0760356
-2.27927	0.0760466
-2.26758	0.0760572
-2.25589	0.0760676
-2.2442	0.0760777
-2.23251	0.0760875
-2.22083	0.0760971
-2.20914	0.0761063
-2.19745	0.0761153
-2.18576	0.0761239
-2.17407	0.0761323
-2.16238	0.0761404
-2.15069	0.0761482
-2.13901	0.0761557
-2.12732	0.0761629
-2.11563	0.0761699
-2.10394	0.0761765
-2.09225	0.0761829
-2.08056	0.076189
-2.06887	0.0761948
-2.05719	0.0762003
-2.0455	0.0762055
-2.03381	0.0762104
-2.02212	0.0762151
-2.01043	0.0762194
-1.99874	0.0762235
-1.98705	0.0762273
-1.97537	0.0762308
-1.96368	0.0762341
-1.95199	0.076237
-1.9403	0.0762397
-1.92861	0.076242
-1.91692	0.0762441
-1.90523	0.0762459
-1.89355	0.0762475
-1.88186	0.0762487
-1.87017	0.0762497
-1.85848	0.0762503
-1.84679	0.0762507
-1.8351	0.0762508
-1.82341	0.0762506
-1.81173	0.0762501
-1.80004	0.0762494
-1.78835	0.0762483
-1.77666	0.076247
-1.76497	0.0762454
-1.75328	0.0762435
-1.74159	0.0762413
-1.72991	0.0762389
-1.71822	0.0762361
-1.70653	0.0762331
-1.69484	0.0762298
-1.68315	0.0762262
-1.67146	0.0762223
-1.65977	0.0762181
-1.64809	0.0762137
-1.6364	0.0762089
-1.62471	0.0762039
-1.61302	0.0761986
-1.60133	0.076193
-1.58964	0.0761871
-1.57796	0.0761809
-1.56627	0.0761745
-1.55458	0.0761678
-1.54289	0.0761607
-1.5312	0.0761534
-1.51951	0.0761458
-1.50782	0.0761379
-1.49614	0.0761297
-1.48445	0.0761213
-1.47276	0.0761125
-1.46107	0.0761035
-1.44938	0.0760942
-1.43769	0.0760846
-1.426	0.0760747
-1.41432	0.0760645
-1.40263	0.076054
-1.39094	0.0760432
-1.37925	0.0760322
-1.36756	0.0760208
-1.35587	0.0760092
-1.34418	0.0759972
-1.3325	0.075985
-1.32081	0.0759725
-1.30912	0.0759597
-1.29743	0.0759466
-1.28574	0.0759332
-1.27405	0.0759196
-1.26236	0.0759056
-1.25068	0.0758913
-1.23899	0.0758768
-1.2273	0.0758619
-1.21561	0.0758468
-1.20392	0.0758313
-1.19223	0.0758156
-1.18054	0.0757996
-1.16886	0.0757832
-1.15717	0.0757666
-1.14548	0.0757497
-1.13379	0.0757325
-1.1221	0.075715
-1.11041	0.0756972
-1.09872	0.0756791
-1.08704	0.0756607
-1.07535	0.0756419
-1.06366	0.0756229
-1.05197	0.0756036
-1.04028	0.075584
-1.02859	0.0755641
-1.0169	0.0755439
-1.00522	0.0755234
-0.993527	0.0755026
-0.981839	0.0754815
-0.97015	0.0754601
-0.958462	0.0754383
-0.946773	0.0754163
-0.935084	0.075394
-0.923396	0.0753713
-0.911707	0.0753484
-0.900019	0.0753251
-0.88833	0.0753016
-0.876642	0.0752777
-0.864953	0.0752535
-0.853265	0.075229
-0.841576	0.0752042
-0.829887	0.0751791
-0.818199	0.0751537
-0.80651	0.075128
-0.794822	0.0751019
-0.783133	0.0750756
-0.771445	0.0750489
-0.759756	0.0750219
-0.748068	0.0749946
-0.736379	0.074967
-0.72469	0.074939
-0.713002	0.0749108
-0.701313	0.0748822
-0.689625	0.0748533
-0.677936	0.0748241
-0.666248	0.0747946
-0.654559	0.0747647
-0.642871	0.0747345
-0.631182	0.074704
-0.619493	0.0746732
-0.607805	0.074642
-0.596116	0.0746106
-0.584428	0.0745788
-0.572739	0.0745466
-0.561051	0.0745142
-0.549362	0.0744814
-0.537674	0.0744483
-0.525985	0.0744148
-0.514296	0.074381
-0.502608	0.0743469
-0.490919	0.0743125
-0.479231	0.0742777
-0.467542	0.0742426
-0.455854	0.0742071
-0.444165	0.0741713
-0.432477	0.0741352
-0.420788	0.0740988
-0.409099	0.074062
-0.397411	0.0740248
-0.385722	0.0739873
-0.374034	0.0739495
-0.362345	0.0739113
-0.350657	0.0738728
-0.338968	0.0738339
-0.32728	0.0737947
-0.315591	0.0737551
-0.303902	0.0737152
-0.292214	0.0736749
-0.280525	0.0736343
-0.268837	0.0735934
-0.257148	0.073552
-0.24546	0.0735104
-0.233771	0.0734683
-0.222083	0.0734259
-0.210394	0.0733832
-0.198705	0.0733401
-0.187017	0.0732966
-0.175328	0.0732528
-0.16364	0.0732086
-0.151951	0.073164
-0.140263	0.0731191
-0.128574	0.0730738
-0.116886	0.0730281
-0.105197	0.0729821
-0.0935084	0.0729357
-0.0818199	0.0728889
-0.0701313	0.0728417
-0.0584428	0.0727942
-0.0467542	0.0727463
-0.0350657	0.072698
-0.0233771	0.0726494
-0.0116886	0.0726003
0	0.0725509
0.0116886	0.0725011
0.0233771	0.0724512
0.0350657	0.0724009
0.0467542	0.0723504
0.0584428	0.0722997
0.0701313	0.0722488
0.0818199	0.0721976
0.0935084	0.0721461
0.105197	0.0720944
0.116886	0.0720425
0.128574	0.0719904
0.140263	0.071938
0.151951	0.0718853
0.16364	0.0718325
0.175328	0.0717794
0.187017	0.0717261
0.198705	0.0716725
0.210394	0.0716188
0.222083	0.0715648
0.233771	0.0715105
0.24546	0.0714561
0.257148	0.0714014
0.268837	0.0713465
0.280525	0.0712914
0.292214	0.0712361
0.303902	0.0711805
0.315591	0.0711247
0.32728	0.0710688
0.338968	0.0710126
0.350657	0.0709561
0.362345	0.0708995
0.374034	0.0708427
0.385722	0.0707856
0.397411	0.0707284
0.409099	0.0706709
0.420788	0.0706133
0.432477	0.0705554
0.444165	0.0704973
0.455854	0.070439
0.467542	0.0703805
0.479231	0.0703219
0.490919	0.070263
0.502608	0.0702039
0.514296	0.0701447
0.525985	0.0700852
0.537674	0.0700255
0.549362	0.0699657
0.561051	0.0699056
0.572739	0.0698454
0.584428	0.069785
0.596116	0.0697244
0.607805	0.0696636
0.619493	0.0696026
0.631182	0.0695415
0.642871	0.0694801
0.654559	0.0694186
0.666248	0.0693569
0.677936	0.069295
0.689625	0.069233
0.701313	0.0691707
0.713002	0.0691083
0.72469	0.0690457
0.736379	0.068983
0.748068	0.0689201
0.759756	0.068857
0.771445	0.0687937
0.783133	0.0687303
0.794822	0.0686667
0.80651	0.0686029
0.818199	0.068539
0.829887	0.0684749
0.841576	0.0684107
0.853265	0.0683463
0.864953	0.0682817
0.876642	0.068217
0.88833	0.0681521
0.900019	0.0680871
0.911707	0.0680219
0.923396	0.0679565
0.935084	0.067891
0.946773	0.0678254
0.958462	0.0677596
0.97015	0.0676937
0.981839	0.0676276
0.993527	0.0675614
1.00522	0.067495
1.0169	0.0674285
1.02859	0.0673618
1.04028	0.067295
1.05197	0.0672281
1.06366	0.067161
1.07535	0.0670938
1.08704	0.0670265
1.09872	0.066959
1.11041	0.0668914
1.1221	0.0668237
1.13379	0.0667558
1.14548	0.0666878
1.15717	0.0666197
1.16886	0.0665514
1.18054	0.066483
1.19223	0.0664145
1.20392	0.0663459
1.21561	0.0662771
1.2273	0.0662083
1.23899	0.0661393
1.25068	0.0660702
1.26236	0.066001
1.27405	0.0659316
1.28574	0.0658622
1.29743	0.0657926
1.30912	0.0657229
1.32081	0.0656531
1.3325	0.0655832
1.34418	0.0655132
1.35587	0.0654431
1.36756	0.0653729
1.37925	0.0653026
1.39094	0.0652321
1.40263	0.0651616
1.41432	0.0650909
1.426	0.0650202
1.43769	0.0649494
1.44938	0.0648784
1.46107	0.0648074
1.47276	0.0647363
1.48445	0.064665
1.49614	0.0645937
1.50782	0.0645223
1.51951	0.0644508
1.5312	0.0643792
1.54289	0.0643075
1.55458	0.0642358
1.56627	0.0641639
1.57796	0.064092
1.58964	0.0640199
1.60133	0.0639478
1.61302	0.0638756
1.62471	0.0638034
1.6364	0.063731
1.64809	0.0636586
1.65977	0.0635861
1.67146	0.0635135
1.68315	0.0634408
1.69484	0.0633681
1.70653	0.0632953
1.71822	0.0632224
1.72991	0.0631494
1.74159	0.0630764
1.75328	0.0630033
1.76497	0.0629301
1.77666	0.0628569
1.78835	0.0627836
1.80004	0.0627102
1.81173	0.0626368
1.82341	0.0625633
1.8351	0.0624898
1.84679	0.0624162
1.85848	0.0623425
1.87017	0.0622688
1.88186	0.062195
1.89355	0.0621211
1.90523	0.0620472
1.91692	0.0619733
1.92861	0.0618992
1.9403	0.0618252
1.95199	0.0617511
1.96368	0.0616769
1.97537	0.0616027
1.98705	0.0615284
1.99874	0.0614541
2.01043	0.0613797
2.02212	0.0613053
2.03381	0.0612309
2.0455	0.0611564
2.05719	0.0610819
2.06887	0.0610073
2.08056	0.0609327
2.09225	0.060858
2.10394	0.0607833
2.11563	0.0607086
2.12732	0.0606338
2.13901	0.060559
2.15069	0.0604841
2.16238	0.0604093
2.17407	0.0603344
2.18576	0.0602594
2.19745	0.0601844
2.20914	0.0601094
2.22083	0.0600344
2.23251	0.0599593
2.2442	0.0598842
2.25589	0.0598091
2.26758	0.059734
2.27927	0.0596588
2.29096	0.0595836
2.30265	0.0595084
2.31433	0.0594332
2.32602	0.0593579
2.33771	0.0592826
