"Force Factor Bl (X)"			
"Bl (|X| < Xprot)"		"Bl (-X)"	
"X [mm]"	"Bl [N/A]"	"X [mm]"	"Bl [N/A]"
-2.33771	0.631616	2.33771	0.631616
-2.32602	0.637062	2.32602	0.637062
-2.31433	0.64254	2.31433	0.64254
-2.30265	0.64805	2.30265	0.64805
-2.29096	0.653591	2.29096	0.653591
-2.27927	0.659163	2.27927	0.659163
-2.26758	0.664766	2.26758	0.664766
-2.25589	0.6704	2.25589	0.6704
-2.2442	0.676064	2.2442	0.676064
-2.23251	0.681757	2.23251	0.681757
-2.22083	0.68748	2.22083	0.68748
-2.20914	0.693233	2.20914	0.693233
-2.19745	0.699014	2.19745	0.699014
-2.18576	0.704824	2.18576	0.704824
-2.17407	0.710662	2.17407	0.710662
-2.16238	0.716527	2.16238	0.716527
-2.15069	0.72242	2.15069	0.72242
-2.13901	0.72834	2.13901	0.72834
-2.12732	0.734287	2.12732	0.734287
-2.11563	0.74026	2.11563	0.74026
-2.10394	0.746258	2.10394	0.746258
-2.09225	0.752282	2.09225	0.752282
-2.08056	0.75833	2.08056	0.75833
-2.06887	0.764403	2.06887	0.764403
-2.05719	0.7705	2.05719	0.7705
-2.0455	0.776619	2.0455	0.776619
-2.03381	0.782762	2.03381	0.782762
-2.02212	0.788927	2.02212	0.788927
-2.01043	0.795114	2.01043	0.795114
-1.99874	0.801322	1.99874	0.801322
-1.98705	0.807551	1.98705	0.807551
-1.97537	0.813799	1.97537	0.813799
-1.96368	0.820068	1.96368	0.820068
-1.95199	0.826355	1.95199	0.826355
-1.9403	0.832661	1.9403	0.832661
-1.92861	0.838984	1.92861	0.838984
-1.91692	0.845325	1.91692	0.845325
-1.90523	0.851682	1.90523	0.851682
-1.89355	0.858055	1.89355	0.858055
-1.88186	0.864443	1.88186	0.864443
-1.87017	0.870846	1.87017	0.870846
-1.85848	0.877263	1.85848	0.877263
-1.84679	0.883693	1.84679	0.883693
-1.8351	0.890136	1.8351	0.890136
-1.82341	0.89659	1.82341	0.89659
-1.81173	0.903056	1.81173	0.903056
-1.80004	0.909532	1.80004	0.909532
-1.78835	0.916019	1.78835	0.916019
-1.77666	0.922514	1.77666	0.922514
-1.76497	0.929018	1.76497	0.929018
-1.75328	0.935529	1.75328	0.935529
-1.74159	0.942047	1.74159	0.942047
-1.72991	0.948572	1.72991	0.948572
-1.71822	0.955102	1.71822	0.955102
-1.70653	0.961636	1.70653	0.961636
-1.69484	0.968175	1.69484	0.968175
-1.68315	0.974717	1.68315	0.974717
-1.67146	0.981261	1.67146	0.981261
-1.65977	0.987807	1.65977	0.987807
-1.64809	0.994354	1.64809	0.994354
-1.6364	1.0009	1.6364	1.0009
-1.62471	1.00745	1.62471	1.00745
-1.61302	1.01399	1.61302	1.01399
-1.60133	1.02053	1.60133	1.02053
-1.58964	1.02707	1.58964	1.02707
-1.57796	1.03361	1.57796	1.03361
-1.56627	1.04014	1.56627	1.04014
-1.55458	1.04667	1.55458	1.04667
-1.54289	1.05319	1.54289	1.05319
-1.5312	1.0597	1.5312	1.0597
-1.51951	1.06621	1.51951	1.06621
-1.50782	1.0727	1.50782	1.0727
-1.49614	1.07919	1.49614	1.07919
-1.48445	1.08567	1.48445	1.08567
-1.47276	1.09214	1.47276	1.09214
-1.46107	1.09859	1.46107	1.09859
-1.44938	1.10503	1.44938	1.10503
-1.43769	1.11146	1.43769	1.11146
-1.426	1.11788	1.426	1.11788
-1.41432	1.12428	1.41432	1.12428
-1.40263	1.13067	1.40263	1.13067
-1.39094	1.13704	1.39094	1.13704
-1.37925	1.14339	1.37925	1.14339
-1.36756	1.14973	1.36756	1.14973
-1.35587	1.15605	1.35587	1.15605
-1.34418	1.16235	1.34418	1.16235
-1.3325	1.16862	1.3325	1.16862
-1.32081	1.17488	1.32081	1.17488
-1.30912	1.18112	1.30912	1.18112
-1.29743	1.18734	1.29743	1.18734
-1.28574	1.19353	1.28574	1.19353
-1.27405	1.1997	1.27405	1.1997
-1.26236	1.20585	1.26236	1.20585
-1.25068	1.21197	1.25068	1.21197
-1.23899	1.21807	1.23899	1.21807
-1.2273	1.22414	1.2273	1.22414
-1.21561	1.23018	1.21561	1.23018
-1.20392	1.2362	1.20392	1.2362
-1.19223	1.24219	1.19223	1.24219
-1.18054	1.24815	1.18054	1.24815
-1.16886	1.25408	1.16886	1.25408
-1.15717	1.25999	1.15717	1.25999
-1.14548	1.26586	1.14548	1.26586
-1.13379	1.27171	1.13379	1.27171
-1.1221	1.27752	1.1221	1.27752
-1.11041	1.2833	1.11041	1.2833
-1.09872	1.28905	1.09872	1.28905
-1.08704	1.29476	1.08704	1.29476
-1.07535	1.30045	1.07535	1.30045
-1.06366	1.30609	1.06366	1.30609
-1.05197	1.31171	1.05197	1.31171
-1.04028	1.31729	1.04028	1.31729
-1.02859	1.32284	1.02859	1.32284
-1.0169	1.32835	1.0169	1.32835
-1.00522	1.33382	1.00522	1.33382
-0.993527	1.33926	0.993527	1.33926
-0.981839	1.34466	0.981839	1.34466
-0.97015	1.35002	0.97015	1.35002
-0.958462	1.35535	0.958462	1.35535
-0.946773	1.36064	0.946773	1.36064
-0.935084	1.36589	0.935084	1.36589
-0.923396	1.3711	0.923396	1.3711
-0.911707	1.37627	0.911707	1.37627
-0.900019	1.3814	0.900019	1.3814
-0.88833	1.3865	0.88833	1.3865
-0.876642	1.39155	0.876642	1.39155
-0.864953	1.39657	0.864953	1.39657
-0.853265	1.40154	0.853265	1.40154
-0.841576	1.40647	0.841576	1.40647
-0.829887	1.41136	0.829887	1.41136
-0.818199	1.41621	0.818199	1.41621
-0.80651	1.42102	0.80651	1.42102
-0.794822	1.42579	0.794822	1.42579
-0.783133	1.43051	0.783133	1.43051
-0.771445	1.43519	0.771445	1.43519
-0.759756	1.43983	0.759756	1.43983
-0.748068	1.44443	0.748068	1.44443
-0.736379	1.44898	0.736379	1.44898
-0.72469	1.45349	0.72469	1.45349
-0.713002	1.45796	0.713002	1.45796
-0.701313	1.46239	0.701313	1.46239
-0.689625	1.46677	0.689625	1.46677
-0.677936	1.4711	0.677936	1.4711
-0.666248	1.4754	0.666248	1.4754
-0.654559	1.47965	0.654559	1.47965
-0.642871	1.48385	0.642871	1.48385
-0.631182	1.48801	0.631182	1.48801
-0.619493	1.49213	0.619493	1.49213
-0.607805	1.4962	0.607805	1.4962
-0.596116	1.50023	0.596116	1.50023
-0.584428	1.50421	0.584428	1.50421
-0.572739	1.50815	0.572739	1.50815
-0.561051	1.51204	0.561051	1.51204
-0.549362	1.51589	0.549362	1.51589
-0.537674	1.51969	0.537674	1.51969
-0.525985	1.52344	0.525985	1.52344
-0.514296	1.52716	0.514296	1.52716
-0.502608	1.53082	0.502608	1.53082
-0.490919	1.53444	0.490919	1.53444
-0.479231	1.53802	0.479231	1.53802
-0.467542	1.54154	0.467542	1.54154
-0.455854	1.54503	0.455854	1.54503
-0.444165	1.54846	0.444165	1.54846
-0.432477	1.55186	0.432477	1.55186
-0.420788	1.5552	0.420788	1.5552
-0.409099	1.5585	0.409099	1.5585
-0.397411	1.56175	0.397411	1.56175
-0.385722	1.56496	0.385722	1.56496
-0.374034	1.56812	0.374034	1.56812
-0.362345	1.57123	0.362345	1.57123
-0.350657	1.5743	0.350657	1.5743
-0.338968	1.57732	0.338968	1.57732
-0.32728	1.58029	0.32728	1.58029
-0.315591	1.58322	0.315591	1.58322
-0.303902	1.5861	0.303902	1.5861
-0.292214	1.58893	0.292214	1.58893
-0.280525	1.59171	0.280525	1.59171
-0.268837	1.59445	0.268837	1.59445
-0.257148	1.59714	0.257148	1.59714
-0.24546	1.59978	0.24546	1.59978
-0.233771	1.60238	0.233771	1.60238
-0.222083	1.60492	0.222083	1.60492
-0.210394	1.60742	0.210394	1.60742
-0.198705	1.60987	0.198705	1.60987
-0.187017	1.61228	0.187017	1.61228
-0.175328	1.61463	0.175328	1.61463
-0.16364	1.61693	0.16364	1.61693
-0.151951	1.61919	0.151951	1.61919
-0.140263	1.6214	0.140263	1.6214
-0.128574	1.62356	0.128574	1.62356
-0.116886	1.62567	0.116886	1.62567
-0.105197	1.62773	0.105197	1.62773
-0.0935084	1.62974	0.0935084	1.62974
-0.0818199	1.6317	0.0818199	1.6317
-0.0701313	1.63361	0.0701313	1.63361
-0.0584428	1.63547	0.0584428	1.63547
-0.0467542	1.63727	0.0467542	1.63727
-0.0350657	1.63903	0.0350657	1.63903
-0.0233771	1.64074	0.0233771	1.64074
-0.0116886	1.6424	0.0116886	1.6424
0	1.644	-0	1.644
0.0116886	1.64555	-0.0116886	1.64555
0.0233771	1.64705	-0.0233771	1.64705
0.0350657	1.6485	-0.0350657	1.6485
0.0467542	1.64989	-0.0467542	1.64989
0.0584428	1.65124	-0.0584428	1.65124
0.0701313	1.65252	-0.0701313	1.65252
0.0818199	1.65376	-0.0818199	1.65376
0.0935084	1.65494	-0.0935084	1.65494
0.105197	1.65607	-0.105197	1.65607
0.116886	1.65714	-0.116886	1.65714
0.128574	1.65815	-0.128574	1.65815
0.140263	1.65911	-0.140263	1.65911
0.151951	1.66002	-0.151951	1.66002
0.16364	1.66087	-0.16364	1.66087
0.175328	1.66166	-0.175328	1.66166
0.187017	1.6624	-0.187017	1.6624
0.198705	1.66307	-0.198705	1.66307
0.210394	1.66369	-0.210394	1.66369
0.222083	1.66426	-0.222083	1.66426
0.233771	1.66476	-0.233771	1.66476
0.24546	1.6652	-0.24546	1.6652
0.257148	1.66559	-0.257148	1.66559
0.268837	1.66591	-0.268837	1.66591
0.280525	1.66618	-0.280525	1.66618
0.292214	1.66638	-0.292214	1.66638
0.303902	1.66652	-0.303902	1.66652
0.315591	1.6666	-0.315591	1.6666
0.32728	1.66662	-0.32728	1.66662
0.338968	1.66657	-0.338968	1.66657
0.350657	1.66647	-0.350657	1.66647
0.362345	1.66629	-0.362345	1.66629
0.374034	1.66606	-0.374034	1.66606
0.385722	1.66576	-0.385722	1.66576
0.397411	1.66539	-0.397411	1.66539
0.409099	1.66496	-0.409099	1.66496
0.420788	1.66446	-0.420788	1.66446
0.432477	1.6639	-0.432477	1.6639
0.444165	1.66326	-0.444165	1.66326
0.455854	1.66257	-0.455854	1.66257
0.467542	1.6618	-0.467542	1.6618
0.479231	1.66096	-0.479231	1.66096
0.490919	1.66006	-0.490919	1.66006
0.502608	1.65908	-0.502608	1.65908
0.514296	1.65804	-0.514296	1.65804
0.525985	1.65692	-0.525985	1.65692
0.537674	1.65573	-0.537674	1.65573
0.549362	1.65447	-0.549362	1.65447
0.561051	1.65314	-0.561051	1.65314
0.572739	1.65174	-0.572739	1.65174
0.584428	1.65026	-0.584428	1.65026
0.596116	1.64871	-0.596116	1.64871
0.607805	1.64709	-0.607805	1.64709
0.619493	1.64539	-0.619493	1.64539
0.631182	1.64362	-0.631182	1.64362
0.642871	1.64177	-0.642871	1.64177
0.654559	1.63985	-0.654559	1.63985
0.666248	1.63785	-0.666248	1.63785
0.677936	1.63577	-0.677936	1.63577
0.689625	1.63362	-0.689625	1.63362
0.701313	1.63139	-0.701313	1.63139
0.713002	1.62908	-0.713002	1.62908
0.72469	1.6267	-0.72469	1.6267
0.736379	1.62424	-0.736379	1.62424
0.748068	1.62169	-0.748068	1.62169
0.759756	1.61907	-0.759756	1.61907
0.771445	1.61637	-0.771445	1.61637
0.783133	1.6136	-0.783133	1.6136
0.794822	1.61074	-0.794822	1.61074
0.80651	1.6078	-0.80651	1.6078
0.818199	1.60478	-0.818199	1.60478
0.829887	1.60168	-0.829887	1.60168
0.841576	1.5985	-0.841576	1.5985
0.853265	1.59524	-0.853265	1.59524
0.864953	1.5919	-0.864953	1.5919
0.876642	1.58848	-0.876642	1.58848
0.88833	1.58498	-0.88833	1.58498
0.900019	1.5814	-0.900019	1.5814
0.911707	1.57774	-0.911707	1.57774
0.923396	1.57399	-0.923396	1.57399
0.935084	1.57017	-0.935084	1.57017
0.946773	1.56627	-0.946773	1.56627
0.958462	1.56228	-0.958462	1.56228
0.97015	1.55821	-0.97015	1.55821
0.981839	1.55407	-0.981839	1.55407
0.993527	1.54984	-0.993527	1.54984
1.00522	1.54553	-1.00522	1.54553
1.0169	1.54115	-1.0169	1.54115
1.02859	1.53668	-1.02859	1.53668
1.04028	1.53213	-1.04028	1.53213
1.05197	1.52751	-1.05197	1.52751
1.06366	1.5228	-1.06366	1.5228
1.07535	1.51802	-1.07535	1.51802
1.08704	1.51316	-1.08704	1.51316
1.09872	1.50822	-1.09872	1.50822
1.11041	1.50321	-1.11041	1.50321
1.1221	1.49812	-1.1221	1.49812
1.13379	1.49295	-1.13379	1.49295
1.14548	1.48771	-1.14548	1.48771
1.15717	1.48239	-1.15717	1.48239
1.16886	1.477	-1.16886	1.477
1.18054	1.47153	-1.18054	1.47153
1.19223	1.466	-1.19223	1.466
1.20392	1.46039	-1.20392	1.46039
1.21561	1.4547	-1.21561	1.4547
1.2273	1.44895	-1.2273	1.44895
1.23899	1.44313	-1.23899	1.44313
1.25068	1.43723	-1.25068	1.43723
1.26236	1.43127	-1.26236	1.43127
1.27405	1.42524	-1.27405	1.42524
1.28574	1.41915	-1.28574	1.41915
1.29743	1.41299	-1.29743	1.41299
1.30912	1.40676	-1.30912	1.40676
1.32081	1.40048	-1.32081	1.40048
1.3325	1.39412	-1.3325	1.39412
1.34418	1.38771	-1.34418	1.38771
1.35587	1.38124	-1.35587	1.38124
1.36756	1.37471	-1.36756	1.37471
1.37925	1.36811	-1.37925	1.36811
1.39094	1.36147	-1.39094	1.36147
1.40263	1.35476	-1.40263	1.35476
1.41432	1.348	-1.41432	1.348
1.426	1.34119	-1.426	1.34119
1.43769	1.33433	-1.43769	1.33433
1.44938	1.32741	-1.44938	1.32741
1.46107	1.32044	-1.46107	1.32044
