"Stiffness of Suspension Kms (X)"					
"Kms (|X| < Xprot)"		"Kmt (|X| < Xprot)"		"Kmt (-X)"	
"X [mm]"	"Kms [N/mm]"	"X [mm]"	"Kms [N/mm]"	"X [mm]"	"Kms [N/mm]"
-2.33771	1.06766	-2.33771	2.46239	2.33771	2.46239
-2.32602	1.05524	-2.32602	2.44952	2.32602	2.44952
-2.31433	1.04299	-2.31433	2.43684	2.31433	2.43684
-2.30265	1.03093	-2.30265	2.42434	2.30265	2.42434
-2.29096	1.01904	-2.29096	2.41201	2.29096	2.41201
-2.27927	1.00733	-2.27927	2.39986	2.27927	2.39986
-2.26758	0.995799	-2.26758	2.38789	2.26758	2.38789
-2.25589	0.984437	-2.25589	2.37609	2.25589	2.37609
-2.2442	0.973245	-2.2442	2.36446	2.2442	2.36446
-2.23251	0.962223	-2.23251	2.353	2.23251	2.353
-2.22083	0.951368	-2.22083	2.3417	2.22083	2.3417
-2.20914	0.940679	-2.20914	2.33058	2.20914	2.33058
-2.19745	0.930155	-2.19745	2.31961	2.19745	2.31961
-2.18576	0.919792	-2.18576	2.30881	2.18576	2.30881
-2.17407	0.90959	-2.17407	2.29817	2.17407	2.29817
-2.16238	0.899547	-2.16238	2.28769	2.16238	2.28769
-2.15069	0.889661	-2.15069	2.27737	2.15069	2.27737
-2.13901	0.87993	-2.13901	2.2672	2.13901	2.2672
-2.12732	0.870354	-2.12732	2.25719	2.12732	2.25719
-2.11563	0.86093	-2.11563	2.24733	2.11563	2.24733
-2.10394	0.851656	-2.10394	2.23762	2.10394	2.23762
-2.09225	0.842531	-2.09225	2.22806	2.09225	2.22806
-2.08056	0.833554	-2.08056	2.21865	2.08056	2.21865
-2.06887	0.824722	-2.06887	2.20938	2.06887	2.20938
-2.05719	0.816034	-2.05719	2.20026	2.05719	2.20026
-2.0455	0.807489	-2.0455	2.19128	2.0455	2.19128
-2.03381	0.799084	-2.03381	2.18244	2.03381	2.18244
-2.02212	0.790819	-2.02212	2.17374	2.02212	2.17374
-2.01043	0.782692	-2.01043	2.16518	2.01043	2.16518
-1.99874	0.7747	-1.99874	2.15675	1.99874	2.15675
-1.98705	0.766844	-1.98705	2.14846	1.98705	2.14846
-1.97537	0.75912	-1.97537	2.1403	1.97537	2.1403
-1.96368	0.751527	-1.96368	2.13228	1.96368	2.13228
-1.95199	0.744065	-1.95199	2.12438	1.95199	2.12438
-1.9403	0.736731	-1.9403	2.11661	1.9403	2.11661
-1.92861	0.729524	-1.92861	2.10897	1.92861	2.10897
-1.91692	0.722442	-1.91692	2.10146	1.91692	2.10146
-1.90523	0.715484	-1.90523	2.09407	1.90523	2.09407
-1.89355	0.708648	-1.89355	2.0868	1.89355	2.0868
-1.88186	0.701934	-1.88186	2.07966	1.88186	2.07966
-1.87017	0.695339	-1.87017	2.07263	1.87017	2.07263
-1.85848	0.688861	-1.85848	2.06572	1.85848	2.06572
-1.84679	0.682501	-1.84679	2.05893	1.84679	2.05893
